City Name,Places to Visit in the city,State,Country,Weather,Best time,Ideal duration,About,Nearest Airport,Upcoming events,More on City,How to reach
Hailakandi,"Shopping in Hailakandi,Siddyashar Bari Sibmandir,Pach Pirr Mukam,",Assam,India,34.74 deg C,Oct-Mar,1 day,"Hailakandi is a beautiful destination nestled in the heart of Barak Valley of Assam. It is a town with several legends attached to it and serves as a melting pot of various cultures and traditions, all existing at one place in great harmony with each other. This culturally rich place is also adorned nature's bounty serving as a perfect base for people looking for peace and tranquility. Owing to its religious significance, devotees flock to this place in large number. A visit to this place will help you to unwind and relax with a perfect natural setting all around. Blessed with thick cover of lush green forest, sprawling tea gardens, lovely fruit orchards and gurgling river, Hailakandi has many hidden troves waiting to be explored.",Aizawl,N/A,"Situated in the heart of the Barak Valley in Assam, Hailakandi is a perfect blend of various cultures. Adorned with gurgling rivers and dense forests, the hill station is visited all through the year by a huge number of devotees. A picturesque city, Hailakandi is also a hotspot of diversity and rich in flora and fauna, which adds beauty to this hidden hill station. The extensive sprawling tea gardens is also a major attraction in Hailakandi.Hailakandi is a small town where Assamese cuisine is quite predominant. People there are very fond of the rice, tea and maach (fish) which tagged as the popular food of the town.","Hailakandi has no railway station or airport. Roadways is the only way to reach this hidden hill station. The nearest airport to Hailakandi is located in Kumbhirgram in Silchar. The airport is well connected to many other major cities like Kolkata, Aizawl, Guwahati and Agartala. Once you reach the airport, you can hire a taxi or a bus to the required destination. AIZAWL Tentative return flight prices to Aizawl from major cities in India: Hailakandi is well connected to Guwahati via road located at a distance of about 330 km. To visit the town, you can arrive at Guwahati via air, rail or road and can further take a bus to Hailakandi which is readily available. Badarpur in Silchar serves as the nearest railway station to the Hailakandi. Taxi, bus and Max service can be availed from outside the station till the town."
Guruvayur,"Punnathurkotta Elephant Palace,Mammiyoor Shiva Temple,Guruvayoor Temple,Parthasarthy Temple,Institute of Mural Painting,Statues of Maraprabhu and Guruyaur Kesavan,Gokulam Estates,Thiru Venkatachalapathy Temple,Chamundeswari Temple,Harikanyaka Temple,Devaswom Museum,Vallabhatta Kalari,",Kerala,India,27.96 deg C,Oct-Feb,1-2 days,A small town in the district of Krishna Guruvayoorappa!' You hear these words quite often in,Kochi,N/A,"Guruvayoor temple and its grounds are one of a kind. There are two entrances called Nadas, the East Nada and the West Nada. Each Nada leads to the temple. The walk from the entrance to the temple is lined with shops that sell all the things that characterise Kerala. You'll be able to find the Kerala saree, the famous brass lamps, kathakali show pieces etc. in these shops. The turmeric and papad sold in these shops are also of good quality. The temple ground also has a stage facing the temple where musical and dance performances are held. It is a considered a matter of high fortune and honour to be able to perform there. Prominent artists of Kerala like Yesudas and Manju Warrier have performed here.The historic town of Guruvayur is known for enthralling allure, rich religious culture and 5,000 years old legendary temple of Guruvayur idol. According to local legends, Lord Krishna requested sages to remove his idol from the temple in Dwarka as the city was on the verge of destruction and establish it in Kerala. Two sages named Vayu Deva and Guru Brihaspati were the ones who were responsible for this act, and the merger of their titles resulted in the present day name of this place ‘Guru’ Brihaspati and ‘Vayu’ Deva. In the scripts of Dravic language and Tamil literature, mentions of ‘Karuvayur’ were found. As Brahmins started building settlements in Kodungallur, the place got famed for its ancient relics and the temple which is the major attraction for tourists and travellers nowadays.Every year over 3,000 musicians come together in the temple town for the annual Chembai Sangeetholsavam which is a Carnatic musical fest organized by Guruvayur Devaswom. The entire festival is dedicated to Chembai Vaidyanatha Bhagavathar who was an ardent devotee of Lord Guruvayurappan and a Carnatic musician himself. The celebrations continue for 12 to 15 days which culminates to the Guruvayur Ekadasi day when all the singers perform top five songs of Chembai to commemorate the occasion.Local cuisine is Guruvayur is purely vegetarian. Most restaurants serve good","Gurvayoor town has its own railway station with few inter-city passenger and one inter state train. The Gurvayur Railway Station is just 1 km away from the temple. Alternately, one can take up a train till Thrissur and then take a taxi to Gurvayoor. The nearest airport is the Kochi International Airport which is 80 km away. From Kochi, local trains, buses and taxis are easily available to reach Guruvayur. Kochi Tentative return flight prices to Kochi from major cities in India: Guruvayur is well connected by road from nearby areas and taxis are the most comfortable way to reach here. Buses are the next best option. Kerala Road Transport Corporation (KSRTC) runs bus services from all major locations of the state and few inter-state services. The bus stand is just 500 meters to the west of the temple. You can avail a bus easily from most of the major towns in Kerala and nearby states of Tamil Nadu and Karnataka. There are both private buses and state-run buses available on these routes. Guruvayur has got a railway station towards the east of the temple which is connected to the Madras-Mangalore main line at Thrissur. There are local trains running from nearby cities like Kochi, etc."
Tadoba,"Tadoba-Andhari Tiger Reserve,Moharli,Khosla,Tadoba lake,Shopping in Tadoba,Erai Dam,",Maharashtra-Goa,India,26.82 deg C,Oct-Mar,1 day,"Famous for its natural heritage, Tadoba Andhari Tiger Reserve is definitely one of India's most exciting and best protected Tiger Reserve, with most visible tiger sightings in the state of Maharashtra Tadoba national park is located in Chandrapur district of",Nagpur,"Tiger Spotting at Tadoba-Andhari Tiger Reserve,","The wildlife safari in Tadoba is one of the most thrilling experience you can ever have. You get a chance to meet some of the rare wildlife creatures. The Tadoba National Park, which is the oldest and the largest reserve inhabits around 88 tigers. On a safari, you get to see not only tigers easily but also animals like leopards, sloth bears, gaur, jungle cats. Marsh crocodile which was once common can also be witnessed here. The beautiful and extravagant vegetation is an icing on the cake.   The safety issue is not a problem. The safari jeeps are not dangerous and a guide accompanies you throughout the safari. Also, knowledgeable English speaking guides are there to give you useful information during the safari. It is available in early morning and afternoon hours. Make sure to book your tickets in advance. Online booking is also an option. The park remains open throughout the year. So, it is very easy to plan a trip.Tadoba is usually a one-day adventure and though the area is brimming with enjoyment and attractions the cuisine options here are limited. It is advisable to carry your own food for a day-trip here.","You can easily reach Tadoba through road, air and rail transport. Tadoba does not have its own railway station or an airport, but the nearest railway station is Chandrapur Railway Station and the nearest airport is Dr Babasaheeb Ambedkar International Airport, Nagpur. For road transport, Chandrapur and Chimur are the nearest bus stands. They are well-connected with major cities of India. The nearest airport to Tadoba is the Nagpur airport which is at a distance of around 140 km. It is connected to all prominent cities and towns. From there, you can easily hire a taxi to reach Tadoba. This is the most convenient option if you live in far off states from Maharashtra. Dr. Babasaheb Ambedkar International Airport (NAG) Tentative return flight prices to Nagpur from major cities in India: Tadoba does not have its own bus stand. The nearest bus stations are Chandrapur and Chirmur which are at a distance of 45 km and 32 km respectively. You can take state transport corporation buses to travel to either of the bus stands. From there, local transport is available to reach the reserve. Chandrapur Railway Station is the nearest to Tadoba. It is at a distance of around 45 km from the national park. Trains connecting the station to major cities run on a daily basis. From the station, you can travel by road to the reserve."
Churu,"Sethani ka Johara,Salasar Balaji,Tal Chappar Sanctuary,",Rajasthan,India,36.26 deg C,Nov-Mar,1 day,"At the edge of the Thar desert and situated amidst the shifting golden sand dunes, lies a small city called Churu, resplendent with havelis, fresco paintings and unique architecture. Known as the 'Gateway to the Thar desert', Churu lies in the historic Shekhawati region in northern Rajasthan. Churu is a popular attraction for tourists due to its architecture - the grand palaces of havelis of Kanhaiya Lal Bagla and Surana, and its 400-year-old fort, among other things. The city is a perfect weekend getaway spot from New Delhi.",Jaipur,N/A,"The town of Churu has a history dating back to 1620 AD when it is believed to be have been founded by the Rajputs. The name Churu came about from the Rajput ruler Choru Jat, from the Jangladesh region in Rajasthan. The Rajputs were the primary dynasty in power in Churu, and after the war of 1871, it became a part of Bikaner. Following India’s independence in 1947, the Bikaner State was reorganized and the district thus came into existence.Churu has some delicious traditional Rajasthani dishes to offer and believe us, this is one cuisine that is so deeply connected to Indian roots that it will certainly make you forget about the home cooked food that you were longing for.","Jaipur International Airport (JAI) Tentative return flight prices to Jaipur from major cities in India: Churu is connected to fellow cities in Rajasthan by road and the nearby states by various national highways. RSRTC and private buses frequently run to and from the Churu to nearby cities. They operate on a daily basis, whether day or night, from places like Jaipur, Jodhpur, etc. You can also take shared taxis or cabs for the same route."
Bach-Ma-National-Park,N/A,N/A,Vietnam,26.26 deg C,June-August,3-4 days,"Bach Ma National park is a verdant paradise, located about an hour-and-a-half drive away from the city of Hue. Home to a varied range of flora and fauna with about 358 bird species, it is also proclaimed to be one of the wettest areas in Vietnam.",Da Nang International Airport,N/A,To enter the national park certain fees and permits need to be issued at a certain cost.,
Lolegaon,"Rishyap,Canopy Walk lo,Lolegaon Viewpoint,Changey Falls la,Neora Valley National Park,Jhandidara lo,Tiffindhara Sunset Point la,Lava Monastery,Eco Park, Lolegaon,Nature Interpretation Centre lo,",West-Bengal,India,26.52 deg C,Oct-Jun,1 day,Located about 120 Kms from The diverse territory of,Bagdogra,N/A,N/A,"The place isn't equipped to receive direct flights. The nearest Airport is the Bagdogra Airport, which is situated outside the town of Siliguri. Once off the plane, you can easily hire a cab and get to Lolegaon post a 4 hour drive. BAGDOGRA Tentative return flight prices to Bagdogra from major cities in India: Driving down to Lolegaon is not very difficult. If you are planning to drive from nearby regions, then the ride is smooth. However, if you intend to take the car as an alternate to the train, then it's not a very feasible option. The nearest town is Kalimpong, about 55 km away. Siliguri is about 4 hrs drive covering 124 km to Lolegaon. Buses are also available from nearby places and sometimes, even from Kolkata. Travelling by rail is another feasible option. The New Jalpaiguri Station is the closest to Lolegaon. The station is well connected to places such as Kolkata, New Delhi, Chenna and Mumbai. From here as well, you will have to hire a cab."
Gili-Trawangan,N/A,N/A,Indonesia,27.17 deg C,September - November ,3-4 days,"Gili Trawangan is a part of the Gili Island archipelago comprising Gili Trawangan, Gili Meno, and Gili Air. It is also the most developed and tourist-friendly among them. An ideal place to go for freediving, strolling along the beach, soaking up the sun, sightseeing, scuba diving and snorkelling, Gili Trawangan is also known for its happening parties and nightlife. Gili Trawangan is just 45 minutes away from Bali and can be reached via aeroplanes as well as ferry rides.",Lombok International Airport,N/A,"Gili Trawangan is famous for diving (scuba diving costing RP 490000 per person including equipment rentals). You can also become a certified diver by undertaking training from local dive shops and get PADI Open Water or Advanced diver’s certification. Try going to Shark point, Manta point, Sunset reef and secret reef.

Go snorkelling under the supervision of experts which you can easily pre-book or hire their services on the spot for local seaside stalls. (costing RP 150000 per person)

The coral reefs are stunning and abundant in the shallow waters of the island especially Simon’s reef.
Trawangan has amazing spas in a cosy hut like set up with beach view to unwind and an array of therapies to choose from. Relax and rewind!",
Bhaderwah,N/A,Jammu-And-Kashmir,India,27.32 deg C,October - February,1-2 days,"Bhaderwah is a town located in the district of Doda in Jammu and Kashmir. It belongs to the Jammu division of the state. Located in the foothills of the Himalayas, it has been given the status of sub-district. The spread of flora and fauna, stony hills, snow-capped mountains, valleys and the grasslands offer a natural exposure. It is also nicknamed as Mini Kashmir. Skiing can be enjoyed on the slopes of the snow-filled mountains.",Jammu Airport,N/A,"The population at Bhaderwah comprised of Muslims, Hindus and scattered religions like Christianity and Sikhism with Muslims forming the majority of the crowd in the city. The official language is spoken by all the people in Urdu. However, Kashmiri and Bhaderwadi are also spoken by some.Due to the widely spread natural vegetation and the beautiful peaks, it is referred to as Mini Kashmir. The city, because of the cold climate, gives the feel of being in Kashmir. Also, there are many picturesque places such as Seoj Meadow, Padri, Chinta Valley, and so on, which provides the city with a stunning beauty.It is also called as Nagon ki Bhoomi because of the various unique species of snakes that can be spotted around the city.Mela Pat is a famous festival celebrated in Bhaderwah which has been under tradition and practice for over 600 years. The story behind this festival is that a noble king named Nag Pal who belonged to the Paul dynasty impressed the Mughal kings with his powers and courage. The festival is celebrated in remembrance of the event and is devoted to Lord Vasuki Naag on the third day of the Holy festival. The festival is organised at the finishing of Kailash Yatra, which attracts many people from different parts of the state to seek blessings. The people dance the traditional Dikko dance, which symbolises pride, peace and happiness.Bhaderwah has its exciting tale of history. Mohenjo Daro and Harappa civilization were what ruled the city for a long time in history. Back then, the towns Dugha Nagar and Udha Nagar also belonged to the town. It is said that Bhaderwah used to be a very wealthy and prosperous city in ancient times. Unfortunately, it was destroyed during a volcanic eruption from the Kailash Mountain. In the location where the Bhaderwah University is now situated, there used to be another college which could accommodate around ten thousand students. After the destruction of the two major cities, the rulers of the town became incapacitated. This lead to the invasion of the city by the rules of Bhadu Blawar. Over time, the prince Radhk ruled the city under the name of Raja Lakshmi Dev. The law of his dynasty prolonged till the 16th century until which the town was referred to as Bhaderkash. Its inclusion in the state took place when 1841 AD when Maharaj Pratap Singh gifter the city to his younger brother as a jagir.","The city has roads that are well linked to Udhampur, Batote and Pul Dhoda. The National Highway 1A connects Bhderwah to all of these neighbouring cities. Private buses are available which shuttle between these cities. The closest railway station is in Udhampur at a distance of 120 kilometres from the city. There are trains which connect to Allahabad, Ahmedabad and Delhi. Tentative return flight prices to Jammu Airport from major cities in India: The closest railway station is in Udhampur at a distance of 120 kilometres from the city. There are trains which connect to Allahabad, Ahmedabad and Delhi."
Manori,"Manori Beach,Global Vippasanna Pagoda,Beach Parties,Samudreshwar Temple,Barbeque Parties,Nath Sampradaya Ashrams,The old Portuguese Church,Dargah,Essel world and Water Kingdom,",Maharashtra-Goa,India,28.76 deg C,Throughout the year,1 day,"One day off from work. No time to travel too far. Low on petrol and just enough hours to pack up and leave for a refreshing day out. Manori offers much more than just a day's getaway to the beach. The two kilometer long beach in Manori is the nearest to the hustle and bustle of the city of dreams, yet far away from it. Manori is home to fishing communities, and a culture very reminiscent of Goa, the whole area given ample shade by a carpet of coconut and cashew trees that line the beach, hammocks tied to them, making you want to switch to your vacation side immediately. Other than the picnickers, the spiritually inclined will find Manori truly satisfying with places like the two Nath Sampradaya Ashrams, The",Mumbai,N/A,"Manori is a home to a picturesque beach that lines it. The fringed beach makes for a fantastic picnic spot for all Mumbaikars. It's famous for it's all night parties, which attract a younger crowd. A relaxing place for a little getaway. Clean Beaches and a lesser crowd as compared to other Mumbai beaches. Beautifully maintained private cottages are lined along the sea, which is rented out for a comfortable stay.Owing to the Goan culture that predominantly exists in Manori, the cuisine is mostly East Indian and sea food. Even though most of the hotels that offer stay also offer great food, there are little stalls and vendors on the streets as well. One thing not to miss is the Gola and Pani puri on the beach. An all time favourite among tourists, locals or wherever you may be from.","The nearest airport is in Mumbai. Cars can travel only up to Marve Beach. The closest railway station is Malad, a railway station on the Western line of the Mumbai Suburban Railway network. From Marve beach, one can take a ferry ride to Manori. The nearest airport is in Mumbai, and after that, you can take a local cab, bus or train to reach Marve Beach. From there, you can take a ferry to reach to the other side. Chhatrapati Shivaji International Airport (BOM) Tentative return flight prices to Mumbai from major cities in India: It is a super long stretch of 35 kilometres on Mira Road. Car owners are required to deposit their vehicles at the pay and park service at Marve, where the ferry will take you across to Manori. If you are travelling by bike, you can get it aboard the ferry as well. The nearest railway station is at Malad, on the western railway line of the Mumbai railway. If you are travelling from the other two rail lines (Harbour and Central), you can change from Kurla (Any Harbour line station -> Kurla -> Dadar -> Malad) and/or from Dadar (Any central line station -> Dadar -> Malad). From there you can either take an auto, that will charge you approximately 200 INR or a bus (No.272) to Marve beach from where you will have to take a ferry that is government operated (2.50 INR / person) to Manori. This journey will take twenty minutes (from the station to Manori)."
Rinca-Island,N/A,N/A,Indonesia,30.37 deg C,April - November,1-2 Days,"The only natural habitat of the gigantic Komodo Dragons, Rinca Island is located in the eastern Lesser Sunda Islands of Indonesia. It is one of the three major islands of the Komodo National Park along with Komodo island and Padar island and holds the UNESCO World Heritage status since 1991. It is often overlooked by tourists who primarily visit the other two islands but the lack of tourists on the island makes it an even better spot to catch Komodo Dragons living in their natural space. The Island also offers some of the best dive sites. There are three trekking trails on the island ranging from 30 minutes to 2 hours. Rinca Island is the perfect island for spotting Komodo Dragons without the disturbance from a massive tourist crowd. Usually, trips to Rinca Island are organized from Labuan Bajo which also has a number of hotels suiting all budgetary needs.",Labuan Bajo Komodo Airport,N/A,N/A,"The Rinca Island can be accessed from Bima on the island of Sumbawa or Labuan Bajo on the western tip of Flores, Indonesia. Flights are available to both Sumbawa Island and Labuan Bajo from Bali. From Labuan Bajo, a speedboat or a ferry can be taken to Rinca. Diving tours from Labuan Bajo are usually done by taking a liveaboard across the surrounding seas."
Kotagiri,"Elk Falls,Longwood Shola,Trekking,Catherine Falls,Rangasamy Peak and Pillar,Kodanand View Point,John Sullivan Memorial,",Karnataka,India,23.27 deg C,Dec-May,1 day,"Kotagiri is a smallest and oldest hill station, nestled in the lap of Nilgiri Hills bounded by surroundings that exhibits peace and tranquility. A hill town that was first noticed by the British as their summer home away from the heat of plains, today, it is again gaining popularity among tourists. In fact, what we see today of the town is nothing but a pure reflection of the glorious past of the British Raj and Kota tribe who inhabited this place in past and has been reduced to a small number at present. Dictated by pleasant weather condition throughout the year, Kotagiri is packed with lush green environs and clean and fresh air. Once served as a site of coffee plantation, today the town is a tea plantation covering a huge area of 30,000 acres. With an essence of charm and magic, the place holds several mystifying secrets of unexplored nature and beauty waiting to be uncovered.",Coimbatore,N/A,"Kotagiri has no written history before the pre-British era. It possibly has always been there without any recognition. It was inhabited by the ‘kota’ tribes for ages. The name Kotagiri itself translates to “mountain of the Kotas”. The history goes to say that in 1819, two civil servants of the Madras government namely J.C. Whish and N.W. Kindersley discovered the land while looking for outlaws. They reported back to their superior about the region having a climate similar to that of Europe and called it ‘Kotercherry’. 
Following this, the collector of Coimbatore bought himself a house in Kotagiri and on his suggestion, the region became a summer resort for most other British officers.
The ‘Kota’ people are still just two kms away, shifted to the Aggal hamlet, although they are rapidly declining in number due to their reluctance to mix with the outside world. Currently just about 1000 or so in number, they are traditional artisans and excel in the art of pottery and terracotta baking.Nestled in the lap of Nilgiri Hills, Kotagiri is a beautiful hill station situated in the state of Tamil Nadu. Discovered by the Britishers, it is now an emerging tourist hotspot, popular among both trekkers and normal tourists. Once a bustling coffee plantation, Kotagiri is now a sprawling tea plantation as of now, covering a huge of 30000 acres. Packed with the lush green environment and clean air, Kotagiri is one of the oldest hill stations in this region, and a must visit if you have a penchant for the bold and the unexplored.Being located in Tamil Nadu, Kotagiri is famous for its South Indian dishes both vegetarian as well as non-vegetarian. Also if you are in the town, make sure you taste the variety of tea flavors available here ranging from chocolate and elaichi tea to ginger tea.","Kotagiri is well connected to the rest of India via roadways. Regular bus services are available to and fro the town of Kotagiri. There is no direct flight or rail connectivity, however, to Kotagiri. The nearest airport is in Coimbatore, approximately around 70 km from Kotagiri. Coonoor railway station is the nearest railway station to Kotagiri, 23 km away from the same. Coimbatore serves as the nearest airbase to Kotagiri. Hiring taxi from outside the airport is the best option to commute from the airport to the hill station. If you prefer, take a train from Coimbatore to Coonoor, and then break at Coonoor via taxi for Kotagiri. Coimbatore Airport (CJB) Tentative return flight prices to Coimbatore from major cities in India: Kotagiri is a popular hill station which is well connected to many major neighbouring cities via a well-maintained network of roads. There are regular bus services plying from Trichy, Coimbatore, Erode, Mettupalayam and Tirupur till Kotagiri. The nearest railhead to Kotagiri is Coonoor, about 21 km from the hill town. Ooty (29 km) and Mettupalayam (33 km) are the other best options to reach Kotagiri by train. You can hire a taxi from the station or direct buses also runs regularly till the town."
Manado,"Malalayang Beach,Hill of Love,Tunan Waterfall,Minahasa Highlands,Ban Hin Kiong Temple,Waruga,Bunaken Island,Lake Tondano,Boulevard Manado,Giant Statue Of Jesus,Bunaken National Park,Manado Town Square,Siladen Island,Lake Linow,Paal Beach,",N/A,Indonesia,30.6 deg C,July - October,2 - 3 Days,"The capital city of North Sulawesi in Indonesia, Manado is the second-largest city in the region best known for being home to the Ban Hin Kiong temple, which assumes great importance during the Chinese New Year celebrations, and for its stunning marine biodiversity. Being one of the lesser-known but culturally rich places in Indonesia, Manado remains a popular tourist attraction for its authenticity as a small place on an island between Pulau Bunaken and Minahasa Highlands. The highlands and the historical standing of Manado as one of the most important ports for the Spice trade make it a must-visit destination for most backpackers and travellers.",Sam Ratulangi International Airport,N/A,"Manado is known for famous attractions like Waruga, the ancient burial site located in Sawangan with vividly architectured tombstones and rich histories attached to each one of them, or Bukit Kasih, also known as the Hill of Love which has five different places of worship for different religions explaining the significance of its name. Manado is also home to the third-largest lake in Indonesia, Lake Tondano, where visitors go to enjoy the stunning scenery amongst the mountains and enjoy fresh seafood.Manado has a vast history of changing leaderships, colonialism and religious shifts in mainland culture. The city was first under the rule of the Sultan of Ternate who was known for introducing a form of tax system and bringing Islam to Manado’s inhabitants, who was then overthrown by the Portugese. The next set of rulers came from Spain, who first established economic monopoly over Manado by way of using the region as a commercial trade centre for Chinese coffee traders. The first king of Manado, Muntu Untu, was the descendant of a Spanish Mestizo, which was an Indo-Eurasian community that had developed in the 16th century.A mixed population of Sudanese, Javanese and Chinese ethnicities along with the dominant Minahasan ethnic group, Manado has a variety of thriving cultures existing together. Most of the population is mainly Christian and has occupations of farmers or fisherpeople depending on the area of their residence. Small theatres and local resorts host traditional dance shows for the visitors and tourists to enjoy, like the Kabasaran War dance or the Minahasan dance. These dances are performed to the tunes of the Kulintang and Tambour, which are traditional musical instruments most popularly used during ceremonies or these dance performances.The nightlife in Manado moves at a comfortable pace with the numerous relaxed and ambient bars and clubs spread across the city. Corner Café is one of the locally loved spots for people to unwind with live music and an assortment of Indonesian and Western food on the menu, with a wide range of drinks served to the customers. Another place to spend a fun night at would be Haha Café in Mega Mall, which has a huge dance floor and is known for being enjoyed by the crowds, especially on weekends. Satoro Café and Pub is a bustling spot for tourists and locals alike as it offers not only live music but also a karaoke room for its customers, best to be visited after a day spent on outdoor activities.Indonesia is known for its cottage industries and bargaining culture, and Manado is another city rich in traditional markets that are mostly visited by tourists to shop for souvenirs or things that are exclusively Manadonese. Stores the Gecko Art Shop and Gallery and the Karya Karema are the best examples of popular traditional stores, wherein the former deals in Minahasan and Lombok art culture and the latter sells the cultural form of cloth and woven cotton worn by the Minahasan population. There are other places bustling with customers that serve the global market, like Megamall, Mega Trade Centre, Manado Town Square, President Shopping Centre, etc.","Visitors usually opt for air travel to get to the city. The Sam Ratulangi International Airport is a fairly new facility built for travellers that mostly pour in from neighbouring places like Thailand and Australia, and also from Singapore. Air Asia does not operate at the airport, but flights like Silk Air from Singapore, Garuda from Jakarta, Makassar etc. frequently fly to and from Manado. Domestic flights from Surabaya, Bali, Papua etc. are also available. Visitors can hire taxis from the airport, which takes around half an hour to reach central Manado. Taxi fares are highly bargainable, so it is advisable to try for cheaper prices while travelling within the city."
Bikaner,"Junagarh Fort,Karni Mata Temple,Lalgarh Palace,Rampuriya Haveli,National Research Centre On Camel,Gajner Palace,Laxmi Nath temple,Camel festival,Kote Gate,Desert Safari,Station Road,City Shopping,Bhandasar Jain Temple,Shiv Bari Temple,Royal Cenotaphs,Kodamdesar Temple,Sadul Singh Museum,Devi Kund,Sri Laxminath Temple,Prachina Museum,Ganga Singh Museum,Sursagar lake,Kolayat,Laxmi Niwas Palace,",Rajasthan,India,36.72 deg C,Oct-Mar,1-2 days,"Located in the midst of Thar Desert, Bikaner is a ""cultural paradise and a traveller's haven"". The city will mesmerize you with the camels sauntering its beautiful sand dunes and captivate you with its ancient palaces and forts. Rightly called as one of the three great desert kingdoms of Rajasthan, the dazzling city boasts of old-world charm, opulent havelis and depicts a pleasing bygone era of the Rajputs. Best known as the ""camel country"" for breeding some best-knownn riding camels, Bikaner also happens to house one of the only two models of the biplane used by the British in World War 1. Bikaner with its magnificence in architecture, art and culture has sands filled with colour, festivity and cultural marvels. Sand Dunes and the Desert Safari are among major attractions. Bikaner is also famous for hosting the international",Jodhpur,"Camel Festival,","Bikaner was a barren land, ruled by the Rajputs in the 15th century and was known as “Jangladesh”. In 1488, Rao Bika established the namesake city and built the famous Junagarh Fort. Rightly considered as the oasis in between the Thar Desert, the city was a strategic point of trade between Gujarat and Central Asia. Major construction and development in Bikaner happened under the rule of Raja Rai Singh who ruled from 1571 AD to 1611 AD as he won many wars and accolades and also conquered the Mewar Kingdom and got rewarded for the same. In the 18th century, however, the kingdom fell into the hands of the British Empire, although the Royal family kept ruling the city. Eventually, the family shifted to the Lalgarh Palace where it still resides to date.The dynamic and vibrant culture of Bikaner gives you a peek into the tradition, practices and people of the city. People are fond of their culture and they (especially men) dress in traditional dress of Rajasthan- ghaghra choli for women and dhoti kurta for men. Most men are seen donning a pagdi even on usual days. 
Hinduism is the major religion followed by the people and Rajasthani is the spoken to language. Although, some people also speak Hindi.
Bikaner also has a delectable cuisine. Most of the food is prepared in butter and butter milk. Some of the delicacies include- dal baati churma, gatte ki sabzi, kheechdi, pakode etc.
One of the main festivals of Bikaner is “Camel Festival”; it involves a flamboyant procession and parade of decked-up camels. The display of the high bred camels is followed by events like- camel races, camel rides and performance of folk songs and dances. 
Bikaner is also a hub for meenakari work (ornamental stone work), miniature painting and carpet weaving. Utsi art is another famous form of art inherited from the age of Raja Rai Singh which involves golden meenakari work on camel hide.Bikaner, located in the middle of the Thar desert and founded by Rao Bika back in 1486, has many temples and forts reflecting the cultural heritage of Rajasthan. Some of the famous places you should definitely visit here are- Junagarh Fort- Earlier known as Chintamani, this fort also has artefacts from ancient past of Bikaner. Its intricate and immaculate interior designing on the walls and roof has never failed to impress the visitors.The Camel country is the second name of Bikaner since tourists coming here can't resist camel rides. During the camel safari, you can witness the mesmerising beauty of sand dunes. Apart from that, local artists in colourful clothes performing Rajasthani dance is also typically part of the package. There are many organisers for camel safari which can last from 2 to 15 days. The cost starts from INR 1200 per person for a simple safari but it could increase if you are planning a longer trip. Typically, the organisers need a lot of people in a group to conduct the safari, else it becomes very costly for each individual.Bikaner is often almost identified by its popular","The nearest airport from Bikaner is the Jodhpur airport at a distance of 251 km. It's probably not the best idea to go Bikaner by air since the closest airport is 4.5 hours away (Jodhpur). It's easily accessible by road or rail. Bikaner is nicely connected by train from all major cities of India and smaller cities of Rajasthan as well. There are two railway stations in Bikaner which are equally at a distance of 6 km from the city. Bikaner is connected via roads to all the prominent cities of India. The road conditions are decent too. The nearest airport is the Nal Airport located at a distance of around 13km from Bikaner. But, it is still under construction and has not started its operations yet. The next nearest airport is the Jodhpur Airport which is well-developed and is connected to various major cities. It is at a distance of around 251 km from the city. From there you can take a bus or a taxi. There are numerous buses and taxis operating on this route. Alternatively, you can also take a flight to Jaipur and take a taxi or bus from there. You can also land at Delhi and take a taxi or overnight bus from there. Jodhpur Airport (JDH) Tentative return flight prices to Jodhpur from major cities in India: The city is well connected to many other cities by road. Regular bus services and taxis are available for Bikaner. The roads are considerably smooth. According to your budget, you can board either a government or a private bus. There are two railway stations in Bikaner- Bikaner Junction and Lalgarh Railway Junction located at a distance of 6 km from the city. These are connected to many major cities like Jaipur, Punjab, Delhi, Hyderabad, Mumbai and others. From any of these two stations, you will easily find a taxi to reach the city or your hotel."
